Area Name,Comp ID,Comp Name,Sub Comp ID,SubComp Name,Input Mode,expression,expression string
TARGETS,122,SALES (TARGET),,,admin,,
TARGETS,123,AVERAGE SALES PER HOUR (TARGET),,,admin,,
TARGETS,124,SALES TO PAYROLL EXPENSE (TARGET),,,admin,,
TARGETS,164,EMPLOYEE COST (TARGET),,,admin,,
MANPOWER,131,ASSOCIATE WORKING HOURS WITH OVERTIME- Required,,,formula, comp_122 / comp_123,{SALES (TARGET)} {/} {AVERAGE SALES PER HOUR (TARGET)}
MANPOWER,194,LAST QUARTER EXIT HEADCOUNT- Associate,,,user,,
MANPOWER,177,HEADCOUNT DECISIONS FOR THIS QUARTER- Associate,,,formula, subc_45 - subc_46 - subc_47,{Headcount Ramp Up- Associates} {-} {Headcount Ramp Down- Associates} {-} {Promotion To Supervisor (Nos.)}
MANPOWER,177,HEADCOUNT DECISIONS FOR THIS QUARTER- Associate,45,Headcount Ramp Up- Associates,user,,
MANPOWER,177,HEADCOUNT DECISIONS FOR THIS QUARTER- Associate,46,Headcount Ramp Down- Associates,user,,
MANPOWER,177,HEADCOUNT DECISIONS FOR THIS QUARTER- Associate,47,Promotion To Supervisor (Nos.),user,,
MANPOWER,192,HEADCOUNT AVAILABILITY- Associates,,,formula, comp_194 + comp_177,{LAST QUARTER EXIT HEADCOUNT- Associate} {+} {HEADCOUNT DECISIONS FOR THIS QUARTER- Associate}
MANPOWER,195,LAST QUARTER EXIT HEADCOUNT- Supervisor,,,user,,
MANPOWER,180,HEADCOUNT DECISIONS FOR THIS QUARTER- Supervisor,49,Headcount Ramp Up- Supervisors,user,,
MANPOWER,180,HEADCOUNT DECISIONS FOR THIS QUARTER- Supervisor,50,Headcount Ramp Down- Supervisors,user,,
MANPOWER,180,HEADCOUNT DECISIONS FOR THIS QUARTER- Supervisor,155,Promotion From Associate Level (Nos.),formula, subc_47,{Promotion To Supervisor (Nos.)}
MANPOWER,193,HEADCOUNT AVAILABILITY- Supervisors,,,formula, comp_195 + comp_180,{LAST QUARTER EXIT HEADCOUNT- Supervisor} {+} {HEADCOUNT DECISIONS FOR THIS QUARTER- Supervisor}
MANPOWER,130,ASSOCIATE WORKING HOURS WITH OVERTIME- Actuals,,,formula, comp_122 / comp_123,{SALES (TARGET)} {/} {AVERAGE SALES PER HOUR (TARGET)}
MANPOWER,130,ASSOCIATE WORKING HOURS WITH OVERTIME- Actuals,53,Standard Working Hours Of Current Associates,formula, 3 * 25 * 8 * comp_192,{3} {*} {2} {5} {*} {8} {*} {HEADCOUNT AVAILABILITY- Associates}
MANPOWER,130,ASSOCIATE WORKING HOURS WITH OVERTIME- Actuals,54,Overtime (OT) By Current Associates Required,formula, comp_122 / comp_123,{SALES (TARGET)} {/} {AVERAGE SALES PER HOUR (TARGET)}
MANPOWER,130,ASSOCIATE WORKING HOURS WITH OVERTIME- Actuals,143,Overtime (OT) By Current Associates- As Per Decision,user,,
